行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±4,4.75,1.0,10:30,-1197.2,39,-30.7
±4,3.75,1.0,10:30,-1197.2,39,-30.7
±4,3.5,1.0,10:30,-1197.2,39,-30.7
±4,4.25,1.0,10:30,-1197.2,39,-30.7
±4,4.0,1.0,10:30,-1197.2,39,-30.7
±4,5.0,1.0,10:30,-1197.2,39,-30.7
±4,2.75,1.0,10:30,-1197.2,39,-30.7
±4,3.25,1.0,10:30,-1197.2,39,-30.7
±4,1.25,1.0,10:30,-1197.2,39,-30.7
±4,4.5,1.0,10:30,-1197.2,39,-30.7
±4,3.0,1.0,10:30,-1197.2,39,-30.7
±3,0.75,0.5,13:00,-1199.2,39,-30.75
±3,2.5,0.75,13:00,-1204.2,39,-30.88
±4,0.5,0.5,10:30,-1208.2,39,-30.98
±3,1.5,1.0,10:30,-1212.2,39,-31.08
±3,0.75,0.5,13:30,-1212.2,39,-31.08
±3,1.75,2.25,10:30,-1213.2,39,-31.11
±3,0.75,0.5,12:00,-1214.2,39,-31.13
±3,0.5,0.75,14:00,-1217.2,39,-31.21
±3,2.0,0.5,10:30,-1217.2,39,-31.21
±4,1.0,3.75,10:30,-1218.2,39,-31.24
±4,1.0,4.0,10:30,-1218.2,39,-31.24
±4,1.0,5.0,10:30,-1218.2,39,-31.24
±4,1.0,2.5,10:30,-1218.2,39,-31.24
±4,1.0,3.5,10:30,-1218.2,39,-31.24
±4,1.0,4.5,10:30,-1218.2,39,-31.24
±4,1.0,4.25,10:30,-1218.2,39,-31.24
±4,1.0,2.75,10:30,-1218.2,39,-31.24
±4,1.0,3.0,10:30,-1218.2,39,-31.24
±4,1.0,3.25,10:30,-1218.2,39,-31.24
±4,1.0,4.75,10:30,-1218.2,39,-31.24
±4,0.5,0.5,10:00,-1225.2,39,-31.42
±3,0.75,0.5,14:00,-1231.2,39,-31.57
±3,0.5,0.75,14:30,-1231.2,39,-31.57
±3,1.5,0.75,10:00,-1231.2,39,-31.57
±4,1.5,2.25,10:30,-1232.2,39,-31.59
±3,1.0,0.75,11:00,-1233.2,39,-31.62
±3,0.75,0.75,15:00,-1234.2,39,-31.65
±3,3.0,1.0,10:30,-1236.2,39,-31.7
±3,2.75,1.0,10:30,-1236.2,39,-31.7
±3,3.75,1.0,10:30,-1236.2,39,-31.7
±3,3.25,1.0,10:30,-1236.2,39,-31.7
±3,3.5,1.0,10:30,-1236.2,39,-31.7
±3,4.75,1.0,10:30,-1236.2,39,-31.7
±3,4.5,1.0,10:30,-1236.2,39,-31.7
±3,5.0,1.0,10:30,-1236.2,39,-31.7
±3,4.25,1.0,10:30,-1236.2,39,-31.7
±3,4.0,1.0,10:30,-1236.2,39,-31.7
±3,1.25,0.75,11:00,-1238.2,39,-31.75
±4,2.75,2.5,10:30,-1243.2,39,-31.88
±4,2.75,2.75,10:30,-1243.2,39,-31.88
±4,2.75,3.0,10:30,-1243.2,39,-31.88
±4,4.25,4.75,10:30,-1243.2,39,-31.88
±4,4.25,5.0,10:30,-1243.2,39,-31.88
±4,4.5,4.5,10:30,-1243.2,39,-31.88
±4,4.5,4.0,10:30,-1243.2,39,-31.88
±4,4.0,2.75,10:30,-1243.2,39,-31.88
±4,4.0,2.5,10:30,-1243.2,39,-31.88
±4,4.0,3.5,10:30,-1243.2,39,-31.88
±4,4.0,3.25,10:30,-1243.2,39,-31.88
±4,4.0,3.0,10:30,-1243.2,39,-31.88
±4,4.0,4.0,10:30,-1243.2,39,-31.88
±4,4.0,3.75,10:30,-1243.2,39,-31.88
±4,4.25,2.75,10:30,-1243.2,39,-31.88
±4,4.5,3.75,10:30,-1243.2,39,-31.88
±4,4.25,4.25,10:30,-1243.2,39,-31.88
±4,4.0,4.25,10:30,-1243.2,39,-31.88
±4,4.25,4.5,10:30,-1243.2,39,-31.88
±4,4.0,4.5,10:30,-1243.2,39,-31.88
±4,4.25,2.5,10:30,-1243.2,39,-31.88
±4,4.0,5.0,10:30,-1243.2,39,-31.88
±4,4.0,4.75,10:30,-1243.2,39,-31.88
±4,4.5,3.0,10:30,-1243.2,39,-31.88
±4,4.5,3.25,10:30,-1243.2,39,-31.88
±4,4.5,5.0,10:30,-1243.2,39,-31.88
±4,4.5,4.75,10:30,-1243.2,39,-31.88
±4,4.75,4.75,10:30,-1243.2,39,-31.88
