行权价,上涨触发%,下跌触发%,平仓时间,累计盈亏$,交易天数,日均盈亏$
±0.5,3.5,0.75,10:00,-496.2,39,-12.72
±1,2.0,3.5,10:30,-496.2,39,-12.72
±1,3.0,2.0,10:30,-497.2,39,-12.75
±1,3.0,1.5,10:30,-497.2,39,-12.75
±1,1.25,0.5,12:00,-497.2,39,-12.75
±1,1.0,0.5,11:00,-498.2,39,-12.77
±1,1.75,1.0,10:30,-498.2,39,-12.77
±1,2.25,3.25,10:30,-499.2,39,-12.8
±1,2.5,0.75,10:00,-500.2,39,-12.83
±1,0.5,1.0,10:00,-502.2,39,-12.88
±1,1.0,0.5,14:00,-505.2,39,-12.95
±1,2.75,1.0,10:00,-505.2,39,-12.95
±1,1.25,3.75,10:30,-506.2,39,-12.98
±0.5,2.75,0.5,10:00,-507.2,39,-13.01
±0.5,2.0,0.5,11:00,-507.2,39,-13.01
±1,5.0,1.75,10:30,-507.2,39,-13.01
±1,4.25,1.75,10:30,-507.2,39,-13.01
±1,4.75,1.75,10:30,-507.2,39,-13.01
±1,4.5,1.75,10:30,-507.2,39,-13.01
±1,4.0,1.75,10:30,-507.2,39,-13.01
±1,0.5,0.75,14:00,-507.2,39,-13.01
±1,3.75,1.75,10:30,-507.2,39,-13.01
±0.5,1.75,0.5,10:30,-508.2,39,-13.03
±0.5,4.75,0.5,10:30,-508.2,39,-13.03
±1,1.25,4.5,10:30,-508.2,39,-13.03
±1,1.25,4.75,10:30,-508.2,39,-13.03
±1,1.25,5.0,10:30,-508.2,39,-13.03
±1,1.25,4.25,10:30,-508.2,39,-13.03
±0.5,4.0,0.5,10:30,-508.2,39,-13.03
±1,3.25,3.0,10:30,-508.2,39,-13.03
±0.5,4.5,0.5,10:30,-508.2,39,-13.03
±0.5,5.0,0.5,10:30,-508.2,39,-13.03
±1,3.5,3.0,10:30,-508.2,39,-13.03
±0.5,4.25,0.5,10:30,-508.2,39,-13.03
±0.5,3.75,0.5,10:30,-508.2,39,-13.03
±1,1.25,4.0,10:30,-508.2,39,-13.03
±1,1.5,0.5,10:00,-509.2,39,-13.06
±0.5,3.0,0.75,10:00,-511.2,39,-13.11
±1,1.0,0.5,11:30,-513.2,39,-13.16
±1,4.5,3.5,10:30,-514.2,39,-13.18
±1,4.25,3.5,10:30,-514.2,39,-13.18
±1,4.0,3.5,10:30,-514.2,39,-13.18
±1,5.0,3.5,10:30,-514.2,39,-13.18
±1,4.75,3.5,10:30,-514.2,39,-13.18
±1,2.5,3.25,10:30,-514.2,39,-13.18
±1,0.5,0.75,11:00,-514.2,39,-13.18
±1,3.75,3.5,10:30,-514.2,39,-13.18
±1,2.0,3.25,10:30,-516.2,39,-13.24
±1,1.25,0.5,13:30,-516.2,39,-13.24
±0.5,2.25,0.75,10:30,-517.2,39,-13.26
±1,2.75,3.0,10:30,-518.2,39,-13.29
±1,3.0,2.75,10:30,-519.2,39,-13.31
±1,1.5,1.0,10:30,-519.2,39,-13.31
±1,0.75,0.75,12:00,-520.2,39,-13.34
±1,3.25,3.5,10:00,-520.2,39,-13.34
±1,3.25,2.0,10:30,-520.2,39,-13.34
±1,3.5,2.0,10:30,-520.2,39,-13.34
±1,3.5,1.5,10:30,-520.2,39,-13.34
±1,3.5,3.5,10:00,-520.2,39,-13.34
±1,3.25,1.5,10:30,-520.2,39,-13.34
±1,0.75,0.75,10:30,-521.2,39,-13.36
±1,3.0,2.5,10:30,-521.2,39,-13.36
±1,3.5,0.5,14:00,-521.2,39,-13.36
±1,0.75,1.0,10:00,-522.2,39,-13.39
±1,1.0,0.75,14:30,-523.2,39,-13.42
±1,3.5,4.75,10:00,-524.2,39,-13.44
±1,3.5,4.5,10:00,-524.2,39,-13.44
±1,3.25,4.25,10:00,-524.2,39,-13.44
±1,3.5,5.0,10:00,-524.2,39,-13.44
±1,3.25,4.0,10:00,-524.2,39,-13.44
±1,3.25,4.5,10:00,-524.2,39,-13.44
±1,3.25,3.75,10:00,-524.2,39,-13.44
±1,3.5,3.75,10:00,-524.2,39,-13.44
±1,3.25,4.75,10:00,-524.2,39,-13.44
±1,3.5,4.0,10:00,-524.2,39,-13.44
±1,3.5,4.25,10:00,-524.2,39,-13.44
±1,3.25,5.0,10:00,-524.2,39,-13.44
±1,0.5,1.0,10:30,-525.2,39,-13.47
±1,1.25,0.5,14:00,-527.2,39,-13.52
±1,2.25,2.25,10:30,-527.2,39,-13.52
±1,2.25,0.75,10:00,-527.2,39,-13.52
±1,2.25,0.75,11:00,-528.2,39,-13.54
±0.5,3.25,0.5,11:00,-528.2,39,-13.54
±1,1.0,0.5,10:00,-528.2,39,-13.54
±1,1.25,0.5,13:00,-529.2,39,-13.57
±1,2.75,1.5,10:30,-530.2,39,-13.59
±1,2.75,2.0,10:30,-530.2,39,-13.59
±1,1.75,0.5,10:00,-530.2,39,-13.59
±1,1.75,1.75,10:30,-531.2,39,-13.62
±1,3.0,1.25,10:30,-532.2,39,-13.65
±1,3.5,1.0,13:30,-532.2,39,-13.65
±0.5,2.5,0.75,10:30,-532.2,39,-13.65
±1,4.25,3.25,10:30,-534.2,39,-13.7
±1,4.5,3.25,10:30,-534.2,39,-13.7
±1,4.75,3.25,10:30,-534.2,39,-13.7
±1,3.75,3.25,10:30,-534.2,39,-13.7
±1,1.25,0.75,10:00,-534.2,39,-13.7
±1,5.0,3.25,10:30,-534.2,39,-13.7
±1,4.0,3.25,10:30,-534.2,39,-13.7
±0.5,1.5,0.5,10:30,-535.2,39,-13.72
±1,3.0,3.5,10:00,-536.2,39,-13.75
±1,0.5,0.75,11:30,-536.2,39,-13.75
±1,1.0,0.75,15:00,-536.2,39,-13.75
